Exp A — Layer Mechanism Analysis: Qwen3-1.7B
Layers: 28, calibration: 5 × 1024 tok

metric                    Spearman vs gini   Spearman vs importance
─────────────────────────────────────────────────────────────────
block_influence           +0.053             +0.357                
block_similarity          -0.053             -0.357                
activation_entropy        +0.316             +0.576                
activation_mean           +0.644             +0.987                
activation_std            +0.649             +0.999                
activation_sparsity       -0.656             -0.980                
quant_sensitivity_int8    +0.190             +0.518                
quant_sensitivity_fp16    +nan               +nan                  
activation_range          +0.528             +0.791                
weight_dynamic_range      +nan               +nan                  
gradient_norm             -0.307             -0.611                
gradient_norm_std         -0.559             -0.816                
gradient_norm_max         -0.400             -0.686                
gradient_norm_min         -0.174             -0.367                
fisher_information        -0.270             -0.495                
fisher_mean               -0.270             -0.495                
